Source,Target,Weight
ATGER P,1976,1
BERNASCONI R,1976,1
DEPRAZ N,1976,1
IJSSELING S,1976,1
LAUER C,1976,1
MARBACH E,1976,1
MENSCH J,1976,1
SIVAK J,1976,1
STERLICIII P,1976,1
VISSER G,1976,1
WALDENFELS B,1976,1
BAYEROVA M,1977,1
BERNASCONI R,1977,1
CAPUTO J,1977,1
DWYER D,1977,1
HAMRICK W,1977,1
JACKSON J,1977,1
JANKAUSKAS S,1977,1
JANSSEN P,1977,1
MARION J,1977,1
MOUTSOPOULOS E,1977,1
MURDOCH J,1977,1
NELSON E,1977,1
SCHALOW F,1977,1
SCHUBACK M,1977,1
WESTPHAL M,1977,1
AL-SAJI A,1978,1
LUFT S,1978,1
MURRAY P,1978,1
SHARKEY S,1978,1
WALDENFELS B,1978,1
WESTPHAL M,1978,1
CHIEREGHIN F,1979,1
HAMRICK W,1979,1
HATEM J,1979,1
MARION J,1979,1
PENOLIDIS T,1979,1
SEEMAN D,1979,1
ATGER P,1980,1
BEAUVAIS C,1980,1
CIBULKA J,1980,1
CIOCAN C,1980,1
LAUER C,1980,1
MENSCH J,1980,1
MICALI S,1980,1
VIOULAC J,1980,1
WESTPHAL M,1980,1
ANDERSEN N,1981,1
DASTUR F,1981,1
HATEM J,1981,1
LOUZIL J,1981,1
SULLINS J,1981,1
BEGOUT B,1982,1
CHO K,1982,1
CIOCAN C,1982,1
EVINK E,1982,1
FURTAK R,1982,1
JANSSEN P,1982,1
MACHADO R,1982,1
RENAUDIE P,1982,1
SVOBODOVA H,1982,1
BERNASCONI R,1983,1
CIOCAN C,1983,1
DALISSIER M,1983,1
DONOUGHO M,1983,1
GONZALEZ F,1983,1
MOUTSOPOULOS E,1983,1
ORTH E,1983,1
ROTHBERG D,1983,1
BEITES P,1984,1
BERNASCONI R,1984,1
CIBULKA J,1984,1
CIOCAN C,1984,1
CLARK T,1984,1
CONILL-SANCHO J,1984,1
DONOUGHO M,1984,1
FURTAK R,1984,1
LEASK I,1984,1
LUMSDEN S,1984,1
MOUTSOPOULOS E,1984,1
RENAUDIE P,1984,1
SEEMAN D,1984,1
SOFFER G,1984,1
TYMIENIECKA A,1984,1
VALKANOV D,1984,1
VESSEY D,1984,1
WESTPHAL M,1984,1
ANDERSEN N,1985,1
CIOCAN C,1985,1
DALISSIER M,1985,1
HATEM J,1985,1
HELD K,1985,1
PARK B,1985,1
POWELL J,1985,1
SIVAK J,1985,1
ATGER P,1986,1
BEITES P,1986,1
CAMILLERI S,1986,1
CIOCAN C,1986,1
DONOUGHO M,1986,1
FALQUE E,1986,1
GONZALEZ F,1986,1
MORROW D,1986,1
WALDENFELS B,1986,1
BEAUVAIS C,1987,1
BERGO B,1987,1
BLASCHEK-HAHNOVA H,1987,1
CHENAVIER R,1987,1
CIBULKA J,1987,1
DONOUGHO M,1987,1
ERGINEL M,1987,1
EVINK E,1987,1
SEEMAN D,1987,1
STAEHLER T,1987,1
WALDENFELS B,1987,1
BARBARAS R,1988,1
BEITES P,1988,1
CHENAVIER R,1988,1
CIOCAN C,1988,1
CRESPO M,1988,1
FURTAK R,1988,1
GONZALEZ F,1988,1
HATEM J,1988,1
KAMECKE G,1988,1
LAUER C,1988,1
LIEBSCH B,1988,1
LUFT S,1988,1
OVERGAARD S,1988,1
SARTRE J,1988,1
SAVIN A,1988,1
SCHUBACK M,1988,1
THERIEN C,1988,1
WALDENFELS B,1988,1
BEITES P,1989,1
CASSEDY S,1989,1
CHENAVIER R,1989,1
DAUJOTYTE-PAKERIENE V,1989,1
DONOUGHO M,1989,1
GENOVA A,1989,1
HATEM J,1989,1
HAVERKAMP A,1989,1
HERRERA H,1989,1
LAFAYE C,1989,1
MORROW D,1989,1
PARK B,1989,1
