Source,Target,Weight
WISCHKE M,ADORNO T,1
WLADIKA M,ADORNO T,1
ZUIDERVAART L,ADORNO T,1
BOI L,ADRIAN E,1
FERRER RG,ADRIAN E,1
FLAMARIQUE L,ADRIAN E,1
GILABERT F,ADRIAN E,1
SANTOS BS,ADRIAN E,1
ADRIAN J,ADRIAN J,1
BUTIERREZ LF,ADRIAN J,2
DE LARA F,ADRIAN J,1
ESCUDERO JA,ADRIAN J,5
INVERSO HG,ADRIAN J,1
ROPERO NE,ADRIAN J,1
MORROW DJ,AERTSEN J,1
MURCHADHA FO,AERTSEN J,1
HAHN S,AESCHYLUS,1
MCCOWN J,AESCHYLUS,1
SCHMITZ H,AESCHYLUS,1
AFFIFI R,AFFIFI R,1
GAITSCH P,AFFIFI R,2
BERKOVICH-OHANA A,AFTANAS L,2
FAGENBLAT M,AGAMBEN,1
HERVAS AG,AGAMBEN,1
APOSTOL P,AGAMBEN G,1
BADGER LM,AGAMBEN G,1
BELL N,AGAMBEN G,1
BELTRAMIN JB,AGAMBEN G,1
BERAN O,AGAMBEN G,1
BERGO BG,AGAMBEN G,2
BLOK V,AGAMBEN G,1
CAMILLERI S,AGAMBEN G,1
CIMATTI F,AGAMBEN G,2
CISNEY V,AGAMBEN G,1
DE JESUS P,AGAMBEN G,1
DELAHAYE E,AGAMBEN G,1
DRAGOI I,AGAMBEN G,1
DYRING R,AGAMBEN G,1
FERRER RG,AGAMBEN G,1
FUENTES JJ,AGAMBEN G,2
FURTAK RA,AGAMBEN G,1
GARRERA-TOLBERT N,AGAMBEN G,1
HALL MC,AGAMBEN G,1
HAVERKAMP A,AGAMBEN G,1
HELD L,AGAMBEN G,1
HERVAS AG,AGAMBEN G,1
HINTERHOLZ B,AGAMBEN G,1
HUTH M,AGAMBEN G,1
KISNER W,AGAMBEN G,1
KLAVER IJ,AGAMBEN G,1
KOMEL D,AGAMBEN G,1
KOSAR A,AGAMBEN G,2
KOUBA P,AGAMBEN G,1
KOUBOVA A,AGAMBEN G,2
LIEBSCH B,AGAMBEN G,1
LLORENTE J,AGAMBEN G,1
LLOYD R,AGAMBEN G,1
LUCAS SD,AGAMBEN G,1
LYSEMOSE K,AGAMBEN G,2
MARANDOLA E,AGAMBEN G,1
MASIS J,AGAMBEN G,1
MEANA DIR,AGAMBEN G,1
MICHELOW D,AGAMBEN G,1
MURCHADHA FO,AGAMBEN G,2
MURRAY SJ,AGAMBEN G,1
O'CONNOR P,AGAMBEN G,1
PAPUC I,AGAMBEN G,1
PEREGO V,AGAMBEN G,1
PODAR OS,AGAMBEN G,1
POGREBNYAK A,AGAMBEN G,1
REYNOLDS J,AGAMBEN G,1
SCHALOW F,AGAMBEN G,1
SIMON ZB,AGAMBEN G,1
SINNERBRINK R,AGAMBEN G,1
SMITH SJ,AGAMBEN G,1
STAUDIGL M,AGAMBEN G,1
STEINBOCK AJ,AGAMBEN G,3
STERNAD C,AGAMBEN G,1
TOADVINE T,AGAMBEN G,1
TUSSEAU G,AGAMBEN G,1
VALERA L,AGAMBEN G,1
VERGANI M,AGAMBEN G,1
VLIEGHE J,AGAMBEN G,1
WISCHKE M,AGAMBEN G,2
WITHY K,AGAMBEN G,1
WOOD D,AGAMBEN G,1
ZAIETTA L,AGAMBEN G,1
COLLETTI L,AGAZZI E,1
FERRARI M,AGAZZI E,1
NATANSON M,AGEE J,1
SOKOLOWSKI R,AGEE J,1
RODRIGO P,AGEL H,1
RUKGABER M,AGEL H,1
SOBCHACK V,AGEL H,1
DORSCH F,AGGERNAES A,1
HENRIKSEN MG,AGGERNAES A,1
PERAK B,AGGERNAES A,1
PEREIRA F,AGGERNAES A,1
PRINTZLAU GA,AGGERNAES A,1
VAN DUPPEN Z,AGGERNAES A,1
BROOME MR,AGICH G,1
PETHERBRIDGE D,AGICH G,1
CAPUTO A,AGIS V,1
HUETE FM,AGIS V,1
VILLAVERDE MA,AGIS V,1
JOLA C,AGLIOTI S,1
MADARY M,AGLIOTI S,1
CHARLAND M,AGOSTA L,1
FERENCZ-FLATZ C,AGOSTA L,1
BEHNKE EA,AGUIRRE A,3
CHOI KS,AGUIRRE A,1
DE PALMA V,AGUIRRE A,2
DWYER DJ,AGUIRRE A,1
HELD K,AGUIRRE A,1
LARRABEE MJ,AGUIRRE A,1
LOHMAR D,AGUIRRE A,1
LOTZ C,AGUIRRE A,3
LUFT S,AGUIRRE A,1
LUO ZD,AGUIRRE A,1
MENDOZA-CANALES R,AGUIRRE A,1
MORAN D,AGUIRRE A,1
