OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
BRUZINA,BRUZINA R,
I THOU,BUBER M,
BUBNER,BUBNER R,
BUENO-GOMEZ N,BUENOGOMEZ N,
BURBIDGE,BURBIDGE J,
BURCH,BURCH N,Checked paper
BURNHAM,BURNHAM J,checked paper
BUSH,BUSH L,checked paper
BUTLER,BUTLER J,
BUTLERS JUDITH,BUTLER J,
JUDITH BUTLER,"BUTLER, J",
BUYITENDIJK F J J,BUYTENDIJK F,
BUYTENDIJK DE F J J,BUYTENDIJK F,
BUYTENDIJK JFJ,BUYTENDIJK F,
BUYTENDIJKS FJJ,BUYTENDIJK F,
BYRNE,BYRNE A,
BYRNES A,BYRNE A,checked paper
CACHO VIU V,CACHOVIU V,
CAHALAN,CAHALAN J,
CAHN R,CAHN B,
CAILLE,CAILLE A,
MARIA CALCATERRA ROSA,CALCATERRA M,
CLAVINO ITALO,CALVINO I,
CAMPBELL,CAMPBELL J,checked paper
ALBERT CAMUS,CAMUS A,
CAMUS,CAMUS A,
CANGUILHELM GEORGES,CANGUILHEM G,
CAPUTO,CAPUTO J,checked paper
CAPUZZI,CAPUZZI F,
CARBONES MAURO,CARBONE M,
CARLL WHITE A,CARLLWHITE A,
CARLSON,CARLSON T,
CARMEAN JR EA,CARMEAN E,
KARNAP R,CARNAP R,
RUDOLF CARNAP,CARNAP R,
CAMEIRO SFB,CARNEIRO S,
CARR,CARR D,
CARRASCO ALEXANDRE DE OLIVEIRA TORRES,CARRASCODEOLIVEIRA A,
CARRILLO SALCEDO JUAN ANTONIO,CARRILLOSALCEDO J,
CARVALHO M JOELMA,CARVALHO J,
CASATI,CASATI R,
CASEY,CASEY E,
CASSEDY,CASSEDY S,
CASSIDY,CASSEDY S,
CASSEL EJ,CASSELL E,
CASSIER ERNST,CASSIRER E,
CASSIRER,CASSIRER E,
CASSIRER N,CASSIRER E,
KASIRER ERNST,CASSIRER E,
KASSIRER E,CASSIRER E,
CASSOU-NOGUES P,CASSOUNOGUES P,
CASSOUNOGUS P,CASSOUNOGUES P,
CASTORIADIS,CASTORIADIS C,
CATARZI,CATARZI M,
CAVALLI SFORZA LL,CAVALLISFORZA L,
CAVEDON-TAYLOR D,CAVEDONTAYLOR D,
CERF,CERF W,
CHAKKA LAKAL SILVY,CHAKKALAKAL S,
DAVID JCHALMERS,CHALMERS D,
CHANG,CHANG C,checked reference
CHAVEZ BAEZ ROMAN ALEJANDRO,CHAVEZBAES R,
CHERNIAKOV A G,CHERNYAKOV A,
CHERNJAKOV AG,CHERNYAKOV A,
CHOMSKY,CHOMSKY N,
