Source,Target,Weight
BINKELMANN C,HEIDEGGER M,1
BISCHIN M,HEIDEGGER M,2
BIUSO A,HEIDEGGER M,1
BLANC S,HEIDEGGER M,1
BLECHA I,HEIDEGGER M,4
BLOCK N,HEIDEGGER M,1
BLOK V,HEIDEGGER M,4
BLOSSER P,HEIDEGGER M,1
BOEDEKER E,HEIDEGGER M,1
BORREN M,HEIDEGGER M,1
BOURDEAU M,HEIDEGGER M,1
BOURGEOIS P,HEIDEGGER M,2
BOUYER G,HEIDEGGER M,1
BOWMAN B,HEIDEGGER M,1
BOZIC A,HEIDEGGER M,1
BRAUDE H,HEIDEGGER M,1
BREDLAU S,HEIDEGGER M,1
BRIEDIS M,HEIDEGGER M,6
BRIER S,HEIDEGGER M,1
BRISART R,HEIDEGGER M,2
BROGAN M,HEIDEGGER M,2
BUCKLEY M,HEIDEGGER M,1
BURCH M,HEIDEGGER M,8
BURCHILL L,HEIDEGGER M,1
BURKE M,HEIDEGGER M,1
BURNS L,HEIDEGGER M,1
BYLE N,HEIDEGGER M,1
CAI X,HEIDEGGER M,1
CALABRESSE C,HEIDEGGER M,1
CALCAGNO A,HEIDEGGER M,1
CAMILLERI S,HEIDEGGER M,7
CANEO S,HEIDEGGER M,1
CANNON B,HEIDEGGER M,1
CAPEK J,HEIDEGGER M,2
CAPRETTO P,HEIDEGGER M,1
CAPUTO A,HEIDEGGER M,1
CAPUTO J,HEIDEGGER M,6
CARASSAI M,HEIDEGGER M,1
CARDO J,HEIDEGGER M,2
CAREL H,HEIDEGGER M,3
CARRARA O,HEIDEGGER M,1
CASUCCI M,HEIDEGGER M,1
CATENA M,HEIDEGGER M,1
CAZEAUX C,HEIDEGGER M,2
CAZZANELLI S,HEIDEGGER M,1
CEA F,HEIDEGGER M,1
CERBONE D,HEIDEGGER M,1
CERCEL G,HEIDEGGER M,1
CERNY J,HEIDEGGER M,1
CHAN W,HEIDEGGER M,3
CHARLAND M,HEIDEGGER M,1
CHEN X,HEIDEGGER M,1
CHEN Y,HEIDEGGER M,1
CHEN Z,HEIDEGGER M,1
CHERNAVIN G,HEIDEGGER M,1
CHEUNG C,HEIDEGGER M,1
CHIAPPE A,HEIDEGGER M,2
CHIEREGHIN F,HEIDEGGER M,2
CHILLON J,HEIDEGGER M,2
CHIMISSO C,HEIDEGGER M,1
CHOI K,HEIDEGGER M,4
CHRISTENSEN J,HEIDEGGER M,1
CHUKWUELOBE M,HEIDEGGER M,1
CHUNG M,HEIDEGGER M,2
CIARAMELLI F,HEIDEGGER M,1
CIBULKA J,HEIDEGGER M,4
CIOCAN C,HEIDEGGER M,6
CLIFTON S,HEIDEGGER M,2
COATE M,HEIDEGGER M,1
COECKELBERGH M,HEIDEGGER M,2
COHEN J,HEIDEGGER M,1
COHEN L,HEIDEGGER M,1
COHEN R,HEIDEGGER M,1
COLLINS A,HEIDEGGER M,2
COLONY T,HEIDEGGER M,2
COMPTON J,HEIDEGGER M,1
CONILL J,HEIDEGGER M,1
CONTI R,HEIDEGGER M,1
CONTY A,HEIDEGGER M,2
COPELJ E,HEIDEGGER M,1
COPILAS E,HEIDEGGER M,2
CORA G,HEIDEGGER M,6
CORAZZA O,HEIDEGGER M,1
CORBEIL Y,HEIDEGGER M,1
COSERU C,HEIDEGGER M,1
COSTA V,HEIDEGGER M,1
COURTINE J,HEIDEGGER M,1
COZMA C,HEIDEGGER M,1
CRIPPEN M,HEIDEGGER M,1
CRISTALDI G,HEIDEGGER M,1
CROWE B,HEIDEGGER M,2
CROWELL S,HEIDEGGER M,15
CSORDAS T,HEIDEGGER M,1
CUEVAS J,HEIDEGGER M,1
CULBERTSON C,HEIDEGGER M,1
D A,HEIDEGGER M,1
DA S,HEIDEGGER M,2
DAHL E,HEIDEGGER M,2
DAHLSTROM D,HEIDEGGER M,1
DALISSIER M,HEIDEGGER M,3
DALTON D,HEIDEGGER M,2
DASTUR F,HEIDEGGER M,7
DAVENPORT J,HEIDEGGER M,2
DAVIDSON S,HEIDEGGER M,1
DE B,HEIDEGGER M,1
DE C,HEIDEGGER M,1
DE G,HEIDEGGER M,2
DE H,HEIDEGGER M,1
DE J,HEIDEGGER M,1
DE L,HEIDEGGER M,1
DE M,HEIDEGGER M,1
DE N,HEIDEGGER M,2
DE O,HEIDEGGER M,2
DE P,HEIDEGGER M,1
DE S,HEIDEGGER M,1
DE W,HEIDEGGER M,3
DEBOER T,HEIDEGGER M,1
DECLERCK G,HEIDEGGER M,2
DELANCEY C,HEIDEGGER M,2
DELAY S,HEIDEGGER M,1
DEMICHIEL Y,HEIDEGGER M,1
DENNES M,HEIDEGGER M,1
DEPP D,HEIDEGGER M,1
DEPRAZ N,HEIDEGGER M,4
DESOUZA N,HEIDEGGER M,1
DETTLOFF D,HEIDEGGER M,1
DEWS P,HEIDEGGER M,2
DI C,HEIDEGGER M,1
