name,short.name,appearances,comment,changed.in.old,present.in.old
ACHELLA S,ACHELLA S,2,NA,FALSE,TRUE
ACHEN CH,ACHEN C,1,NA,FALSE,FALSE
ACHENBACH G B,ACHENBACH G,1,NA,FALSE,FALSE
ACHENBACH GERD,ACHENBACH G,1,NA,FALSE,TRUE
ACHTERHUIS HANS,ACHTERHUIS H,2,NA,FALSE,FALSE
ACKER WILLIAM RB,ACKER W,1,NA,FALSE,TRUE
ACKER WRB,ACKER W,1,NA,FALSE,TRUE
ACKERMAN B,ACKERMAN B,1,NA,FALSE,FALSE
ACKERMAN B A,ACKERMAN B,1,NA,FALSE,FALSE
ACKERMAN BRUCE,ACKERMAN B,1,NA,FALSE,TRUE
ACKERMAN SPENCER,ACKERMAN S,1,NA,FALSE,FALSE
ACKERMANN A,ACKERMANN A,2,NA,FALSE,FALSE
ACKERMANN KATHRIN,ACKERMANN K,1,NA,FALSE,TRUE
ACKERMANN W,ACKERMANN W,1,NA,FALSE,FALSE
ACKNER B,ACKNER B,1,NA,FALSE,TRUE
ACKROYD P,ACKROYD P,1,NA,FALSE,TRUE
ACKROYD S,ACKROYD S,1,NA,FALSE,TRUE
ACOSTA M,ACOSTA M,12,NA,FALSE,TRUE
ACREDOLO L,ACREDOLO L,1,NA,FALSE,TRUE
ACREDOLO LP,ACREDOLO L,1,NA,FALSE,TRUE
ACTON H B,ACTON H,1,NA,FALSE,TRUE
ACZEL A D,ACZEL A,1,NA,FALSE,TRUE
ACZEL AD,ACZEL A,1,NA,FALSE,FALSE
ACZEL AMIR,ACZEL A,1,NA,FALSE,TRUE
ADAIR S,ADAIR S,21,NA,FALSE,TRUE
ADAM A,ADAM A,45,NA,FALSE,TRUE
ADAM ALISON,ADAM A,1,NA,FALSE,TRUE
ADAM B,ADAM B,1,NA,FALSE,TRUE
ADAM C,ADAM C,3,NA,FALSE,TRUE
ADAM CH,ADAM C,1,NA,FALSE,FALSE
ADAM H,ADAM H,1,NA,FALSE,TRUE
ADAM J,ADAM J,1,NA,FALSE,TRUE
ADAM JENS,ADAM J,1,NA,FALSE,TRUE
ADAM JM,ADAM J,1,NA,FALSE,TRUE
ADAM MT,ADAM M,18,NA,FALSE,TRUE
ADAM P,ADAM P,2,NA,FALSE,TRUE
ADAM SMITH,ADAM S,1,NA,FALSE,FALSE
ADAMEK PM,ADAMEK P,1,NA,FALSE,TRUE
ADAMS C,ADAMS C,2,NA,FALSE,TRUE
ADAMS CJ,ADAMS C,1,NA,FALSE,FALSE
ADAMS D,ADAMS D,1,NA,FALSE,TRUE
ADAMS F,ADAMS F,12,NA,FALSE,TRUE
ADAMS GEORGE P,ADAMS G,1,NA,FALSE,FALSE
ADAMS H,ADAMS H,2,NA,FALSE,TRUE
ADAMS JK,ADAMS J,1,NA,FALSE,FALSE
ADAMS MARILYN MCCORD,ADAMS M,1,NA,FALSE,TRUE
ADAMS N,ADAMS N,1,NA,FALSE,FALSE
ADAMS P,ADAMS P,1,NA,FALSE,TRUE
ADAMS R M,ADAMS R,2,NA,FALSE,FALSE
ADAMS RA,ADAMS R,1,NA,FALSE,TRUE
ADAMS RD,ADAMS R,1,NA,FALSE,FALSE
ADAMS RM,ADAMS R,2,NA,FALSE,TRUE
ADAMS ROBERT M,ADAMS R,1,NA,FALSE,TRUE
ADAMS S,ADAMS S,15,NA,FALSE,FALSE
ADAMS SUZI,ADAMS S,1,NA,FALSE,FALSE
ADAMS SUZY,ADAMS S,1,NA,FALSE,FALSE
ADAMS WW,ADAMS W,1,NA,FALSE,FALSE
ADAMS Z,ADAMS Z,50,NA,FALSE,TRUE
ADAMSON LB,ADAMSON L,1,NA,FALSE,TRUE
ADAMSON PETER,ADAMSON P,1,NA,FALSE,TRUE
ADAMSON T,ADAMSON T,1,NA,FALSE,TRUE
ADDAQAR ABDULQAN,ADDAQAR A,1,NA,FALSE,TRUE
ADDIS DR,ADDIS D,1,NA,FALSE,TRUE
ADDIS L C,ADDIS L,1,NA,FALSE,TRUE
ADDIS M,ADDIS M,1,NA,FALSE,TRUE
ADDISON A,ADDISON A,1,NA,FALSE,FALSE
ADDITIONALLY COATES,ADDITIONALLY C,1,NA,TRUE,TRUE
ADELGUNDIS JAEGERSCHMID OSB,ADELGUNDIS J,2,NA,FALSE,TRUE
ADELMAN C,ADELMAN C,1,NA,FALSE,TRUE
ADELMAN H,ADELMAN H,9,NA,FALSE,TRUE
ADELMANN D,ADELMANN D,1,NA,FALSE,FALSE
ADELSON EH,ADELSON E,3,NA,FALSE,TRUE
ADEMAS,ADEMAS,1,NA,FALSE,FALSE
ADEMAS DE LA RESENA DE ZIZEK S,ADEMAS D,1,NA,FALSE,FALSE
ADEODATO JOAO MAURICIO,ADEODATO J,1,NA,FALSE,FALSE
ADER R,ADER R,1,NA,FALSE,FALSE
ADES DAWN,ADES D,1,NA,FALSE,TRUE
ADESANMI P,ADESANMI P,1,NA,FALSE,TRUE
ADESINA JIMMY A,ADESINA J,1,NA,FALSE,FALSE
ADEY GLYN,ADEY G,1,NA,FALSE,FALSE
ADEY PETER,ADEY P,1,NA,FALSE,FALSE
ADHAR MALL RAM,ADHAR M,1,NA,FALSE,FALSE
ADICKES E,ADICKES E,1,NA,FALSE,TRUE
ADICKES ERICH,ADICKES E,1,NA,FALSE,FALSE
ADKINS A W H,ADKINS A,1,NA,FALSE,TRUE
ADKINS BRENT,ADKINS B,1,NA,FALSE,FALSE
ADLER A,ADLER A,1,NA,FALSE,TRUE
ADLER DA,ADLER D,1,NA,FALSE,FALSE
ADLER E,ADLER E,1,NA,FALSE,FALSE
ADLER HANS,ADLER H,1,NA,FALSE,TRUE
ADLER J,ADLER J,1,NA,FALSE,FALSE
ADLER JE,ADLER J,1,NA,FALSE,TRUE
ADLER JONATHAN E,ADLER J,1,NA,FALSE,FALSE
ADLER LA,ADLER L,1,NA,FALSE,FALSE
ADLER M,ADLER M,1,NA,FALSE,TRUE
ADLER PIERRE,ADLER P,1,NA,FALSE,TRUE
ADLER S R,ADLER S,1,NA,FALSE,TRUE
ADO P,ADO P,1,NA,FALSE,TRUE
ADOBE,ADOBE,1,NA,FALSE,TRUE
ADOLPH KE,ADOLPH K,1,NA,FALSE,TRUE
ADOLPHS R,ADOLPHS R,5,NA,FALSE,TRUE
ADOMENAS M,ADOMENAS M,2,NA,FALSE,TRUE
ADOMO THEODOR W,ADOMO T,1,NA,TRUE,TRUE
ADOMONIS E,ADOMONIS E,1,NA,FALSE,TRUE
ADORNO,ADORNO,4,NA,TRUE,TRUE
ADORNO T,ADORNO T,19,NA,FALSE,TRUE
ADORNO T W,ADORNO T,21,NA,FALSE,TRUE
ADORNO TH,ADORNO T,3,NA,FALSE,FALSE
ADORNO TH W,ADORNO T,7,NA,FALSE,TRUE
ADORNO THEODOR,ADORNO T,18,NA,FALSE,TRUE
ADORNO THEODOR W,ADORNO T,29,NA,FALSE,TRUE
ADORNO THEODOR WIESENGRUND,ADORNO T,4,NA,FALSE,FALSE
ADORNO THW,ADORNO T,3,NA,FALSE,FALSE
ADORNO TW,ADORNO T,24,NA,FALSE,TRUE
ADORNO TWK,ADORNO T,1,NA,FALSE,TRUE
ADORNOS THEODOR W,ADORNOS T,1,NA,FALSE,FALSE
ADRIAANS P,ADRIAANS P,1,NA,FALSE,FALSE
ADRIAANSE HJ,ADRIAANSE H,13,NA,FALSE,TRUE
ADRIAN ED,ADRIAN E,1,NA,TRUE,TRUE
ADRIAN ESCLIDERO J,ADRIAN E,1,NA,TRUE,TRUE
ADRIAN ESCUDERO J,ADRIAN E,2,NA,TRUE,TRUE
ADRIAN ESCUDERO JESUS,ADRIAN E,1,NA,TRUE,TRUE
ADRIAN J,ADRIAN J,37,NA,TRUE,TRUE
ADRIAN J HUSSERL,ADRIAN J,1,NA,FALSE,FALSE
ADRIAN JESUS,ADRIAN J,3,NA,TRUE,TRUE
ADRIANNSE HJ,ADRIANNSE H,1,NA,FALSE,TRUE
AERTSEN JA,AERTSEN J,1,NA,FALSE,TRUE
AERTSEN JAN,AERTSEN J,1,NA,FALSE,TRUE
AESCHYLUS,AESCHYLUS,3,NA,FALSE,TRUE
AFANASOV NB,AFANASOV N,5,NA,FALSE,TRUE
AFFERGAN FRANCIS,AFFERGAN F,1,NA,FALSE,TRUE
AFFIFI R,AFFIFI R,26,NA,FALSE,TRUE
AFLOROAEI S,AFLOROAEI S,32,NA,FALSE,FALSE
AFLOROAEI STEFAN,AFLOROAEI S,1,NA,FALSE,FALSE
AFOLAYAN A,AFOLAYAN A,27,NA,FALSE,TRUE
AFONASIN E,AFONASIN E,1,NA,FALSE,TRUE
AFONSKIY MONAKH SIMEON,AFONSKIY M,1,NA,TRUE,TRUE
AFRAZ A,AFRAZ A,1,NA,FALSE,FALSE
AFTANAS L,AFTANAS L,1,NA,FALSE,TRUE
AFTANAS LI,AFTANAS L,1,NA,FALSE,TRUE
AG FRANC PRESS,AG F,1,NA,TRUE,TRUE
AGAMBEN,AGAMBEN,2,NA,TRUE,TRUE
AGAMBEN G,AGAMBEN G,30,NA,FALSE,TRUE
AGAMBEN GIORGIO,AGAMBEN G,43,NA,FALSE,TRUE
AGAMSEGAL R,AGAMSEGAL R,1,NA,FALSE,FALSE
AGARD OLIVIER,AGARD O,1,NA,FALSE,TRUE
AGARWAL RP,AGARWAL R,1,NA,FALSE,TRUE
AGAZZI E,AGAZZI E,2,NA,FALSE,FALSE
AGEE J,AGEE J,2,NA,FALSE,TRUE
AGEE WC,AGEE W,1,NA,FALSE,TRUE
AGEL HENRI,AGEL H,3,NA,FALSE,TRUE
AGER ROB,AGER R,1,NA,FALSE,TRUE
AGERBO E,AGERBO E,1,NA,FALSE,TRUE
AGGERNAES A,AGGERNAES A,6,NA,FALSE,TRUE
AGGLETON S,AGGLETON S,14,NA,FALSE,TRUE
AGHAIE KAMRAN SCOT,AGHAIE K,1,NA,FALSE,FALSE
AGICH GEORGE J,AGICH G,1,NA,FALSE,FALSE
AGICH GJ,AGICH G,1,NA,FALSE,FALSE
AGIS VILLAVERDE M,AGIS V,2,NA,FALSE,FALSE
AGIS VILLAVERDE MARCELINO,AGIS V,1,NA,TRUE,TRUE
