name,degree,strength,community
Blackmore S,14,17,Gallagher
Bruner J,14,17,Gallagher
Bubner R,16,17,Kant
Carlson T,13,17,Heidegger
Castoriadis C,13,17,Merleauponty
Collingwood R,12,17,Merleauponty
Darms J,14,17,James
Doring S,13,17,James
Farkas K,15,17,James
Ferenczflatz C,12,17,Husserl
Flay J,13,17,Kant
Forster M,15,17,Kant
Frankl V,11,17,Heidegger
Galileo G,13,17,Husserl
Gendler T,16,17,James
Helmholtz H,12,17,Husserl
Kandel E,14,17,Gallagher
Lask E,15,17,Heidegger
Macquarrie J,17,17,Heidegger
Marks L,12,17,Merleauponty
Matthen M,16,17,James
Parsons T,16,17,Schutz
Rensink R,12,17,Gallagher
Riedel M,14,17,Heidegger
Ritter J,17,17,Kant
Schechtman M,15,17,Heidegger
Shchedrina T,11,17,Bakhtin
Sutton J,15,17,Gallagher
Tappolet C,13,17,James
Tilliette X,17,17,Heidegger
Valery P,16,17,Merleauponty
Vaninwagen P,14,17,James
Verbeek P,10,17,Peirce
Vigo A,14,17,Heidegger
Walsh P,8,17,James
Wild J,16,17,Husserl
Williams D,12,17,James
Wilson R,13,17,James
Dokic J,13,16,James
Nahmias E,13,16,James
Loidolt S,14,16,Husserl
Ciocan C,16,16,Heidegger
Hoerl C,11,16,James
Heim M,14,16,Husserl
Cristin R,16,16,Husserl
Llewelyn J,15,16,Heidegger
Aho K,11,16,Heidegger
Blecha I,12,16,Heidegger
Silverman H,15,16,Merleauponty
Neuhouser F,15,16,Kant
Smith Q,13,16,Husserl
Abram D,14,16,Merleauponty
Bengson J,12,16,James
Berkeley G,16,16,James
Berrios G,13,16,Fuchs
Buhler K,14,16,Heidegger
Calarco M,13,16,Heidegger
Casati R,15,16,James
Centrone S,14,16,Husserl
Churchill J,15,16,Husserl
De Preester H,14,16,Husserl
Devries W,13,16,Kant
Haraway D,13,16,Merleauponty
Henckmann W,10,16,Husserl
Hutchins E,11,16,Gallagher
Ingold T,14,16,Gallagher
Johnson G,15,16,Merleauponty
Jung M,14,16,Heidegger
Koch C,16,16,James
Lacouelabarthe P,14,16,Merleauponty
Lonergan B,7,16,Schutz
Lormand E,14,16,James
Lyons J,14,16,James
Marcel A,14,16,James
Michotte A,12,16,Stein
Milner A,13,16,James
Oliver K,14,16,Kant
Petit J,14,16,Heidegger
Plantinga A,12,16,Heidegger
Rosch E,15,16,James
Rosenkranz K,16,16,Kant
Schurmann R,12,16,Heidegger
Seager W,15,16,James
Seamon D,16,16,Merleauponty
Sebbah F,14,16,Heidegger
Smart J,14,16,James
Sperling G,13,16,James
Sterelny K,14,16,James
Sullivan S,16,16,Merleauponty
Tarski A,14,16,Husserl
Todes S,14,16,Gallagher
Varela P,7,16,Richir
Verene D,16,16,Kant
Wiggins D,15,16,James
Wilshire B,14,16,Gallagher
Staudigl M,12,15,Heidegger
Sakakibara T,13,15,Husserl
Donohoe J,13,15,Husserl
Stoller S,11,15,Merleauponty
Chrudzimski A,12,15,Husserl
Dewaelhens A,14,15,Husserl
Feenberg A,12,15,Heidegger
Rietveld E,15,15,Gallagher
Srubar I,12,15,Schutz
Mccumber J,14,15,Kant
Brainard M,12,15,Husserl
Bealer G,15,15,James
Beckmannzoller B,13,15,Stein
Beer R,9,15,Gallagher
Blakemore S,14,15,James
Bonsiepen W,15,15,Kant
Borges J,14,15,Husserl
Boring E,13,15,Husserl
Casper B,12,15,Heidegger
Csikszentmihalyi M,15,15,Gallagher
Decaro M,10,15,Merleauponty
Dewaal F,12,15,Gallagher
Diaz J,5,15,Merleauponty
Dilworth D,11,15,Heidegger
Eilan N,12,15,James
Eley L,12,15,Husserl
Esposito R,13,15,Kant
Feyerabend P,14,15,Gallagher
Fine K,14,15,Husserl
Forman R,11,15,Gallagher
Ganeri J,9,15,Gallagher
Geertz C,15,15,Merleauponty
Gray J,14,15,Gallagher
Greenspan P,11,15,James
Haddock G,12,15,Husserl
Hawking S,13,15,Gallagher
Heck R,13,15,James
Hempel C,15,15,James
Hornsby J,11,15,James
Janssen P,14,15,Husserl
Lafont C,14,15,Heidegger
Lambert J,12,15,Husserl
Lewis M,12,15,Gallagher
Mack A,13,15,Gallagher
Miller I,15,15,Husserl
Morris K,12,15,Merleauponty
Murdoch I,12,15,Heidegger
Okrent M,13,15,Gallagher
Pereboom D,14,15,James
Pinker S,15,15,Kant
Rahner K,12,15,Heidegger
Rosenthal S,11,15,Gallagher
Schilpp P,15,15,Husserl
Schmidt D,11,15,Kant
Simms E,12,15,Merleauponty
Skinner B,10,15,Gallagher
Spengler O,14,15,Kant
Stace W,14,15,Gallagher
Stalnaker R,12,15,James
Stanley J,14,15,Gallagher
Stephens G,14,15,James
Stich S,13,15,James
Stocker M,14,15,Fuchs
Tatossian A,13,15,Fuchs
Tellenbach H,13,15,Fuchs
Trawny P,12,15,Heidegger
Vangelder T,13,15,Gallagher
Vonwright G,14,15,Husserl
Windelband W,14,15,Husserl
Zimmerman M,13,15,Heidegger
Salice A,12,14,James
Kouba P,12,14,Heidegger
Matherne S,12,14,Gallagher
Fisette D,14,14,Husserl
Speaks J,13,14,James
Jamme C,12,14,Kant
Bourget D,13,14,James
