name,strength,community
Jarczyk G,17,Kant
Bernstein J,17,Kant
Bubner R,17,Kant
Flay J,17,Kant
Forster M,17,Kant
Ritter J,17,Kant
Neuhouser F,16,Kant
Devries W,16,Kant
Oliver K,16,Kant
Rosenkranz K,16,Kant
Verene D,16,Kant
Mccumber J,15,Kant
Bonsiepen W,15,Kant
Esposito R,15,Kant
Pinker S,15,Kant
Schmidt D,15,Kant
Spengler O,15,Kant
Jamme C,14,Kant
Duque F,14,Kant
Schmidt J,14,Kant
Burbidge J,14,Kant
Dove K,14,Kant
Hoffmeister J,14,Kant
Jacobi F,14,Kant
Shakespeare W,14,Kant
Chiereghin F,13,Kant
Althusser L,13,Kant
Bourgeois B,13,Kant
Feuerbach L,13,Kant
Fulda H,13,Kant
Menke C,13,Kant
Maker W,12,Kant
Lauth R,12,Kant
Lee D,12,Kant
Mannheim K,12,Kant
Quante M,12,Kant
Bueno G,11,Kant
Engels F,11,Kant
Jameson F,11,Kant
Longuenesse B,11,Kant
Oneill J,11,Kant
Sophocles,11,Kant
Speight A,11,Kant
Steiner G,11,Kant
Dreyfus H,427,Gallagher
Gallagher S,393,Gallagher
Varela F,335,Gallagher
Thompson E,169,Gallagher
Noe A,168,Gallagher
Depraz N,146,Gallagher
Gibson J,127,Gallagher
Damasio A,106,Gallagher
Dewey J,84,Gallagher
Sheetsjohnstone M,77,Gallagher
Jonas H,76,Gallagher
Carman T,74,Gallagher
Maturana H,70,Gallagher
Petitot J,61,Gallagher
Lakoff G,60,Gallagher
Kuhn T,59,Gallagher
Gallese V,58,Gallagher
Kelly S,56,Gallagher
Oregan J,55,Gallagher
Hutto D,51,Gallagher
Tomasello M,50,Gallagher
Haugeland J,47,Gallagher
Wheeler M,46,Gallagher
Lutz A,44,Gallagher
Uexkull J,44,Gallagher
Meltzoff A,43,Gallagher
Petitmengin C,42,Gallagher
Vanmanen M,42,Gallagher
Dejaegher H,40,Gallagher
Gendlin E,40,Gallagher
Johnson M,40,Gallagher
Wrathall M,39,Gallagher
Dipaolo E,37,Gallagher
Mead G,37,Gallagher
Legrand D,36,Gallagher
Blattner W,36,Gallagher
Hurley S,36,Gallagher
Ramachandran V,36,Gallagher
Trevarthen C,36,Gallagher
Reddy V,35,Gallagher
Colombetti G,34,Gallagher
Lewis C,34,Gallagher
Luhmann N,34,Gallagher
Darwin C,32,Gallagher
Gordon R,32,Gallagher
Roy J,32,Gallagher
Currie G,30,Gallagher
Mulhall S,30,Gallagher
Krueger J,28,Gallagher
Vermersch P,28,Gallagher
Neisser U,28,Gallagher
Froese T,27,Gallagher
Rouse J,27,Gallagher
Brooks R,26,Gallagher
Bitbol M,25,Gallagher
Freeman W,25,Gallagher
Gopnik A,25,Gallagher
Cole J,24,Gallagher
Ledoux J,24,Gallagher
Chemero A,23,Gallagher
Giorgi A,22,Gallagher
Garfield J,22,Gallagher
Hanna R,22,Gallagher
Siderits M,22,Gallagher
Baroncohen S,21,Gallagher
Montero B,21,Gallagher
Poincare H,21,Gallagher
Bennett J,20,Gallagher
Edelman G,20,Gallagher
Menary R,20,Gallagher
Nisbett R,20,Gallagher
Barrett L,19,Gallagher
Bateson G,19,Gallagher
Romdenhromluc K,19,Gallagher
Schear J,18,Gallagher
Blackmore S,17,Gallagher
Bruner J,17,Gallagher
Kandel E,17,Gallagher
Rensink R,17,Gallagher
Sutton J,17,Gallagher
Hutchins E,16,Gallagher
Ingold T,16,Gallagher
Todes S,16,Gallagher
Wilshire B,16,Gallagher
Rietveld E,15,Gallagher
Beer R,15,Gallagher
Csikszentmihalyi M,15,Gallagher
Dewaal F,15,Gallagher
Feyerabend P,15,Gallagher
Forman R,15,Gallagher
Ganeri J,15,Gallagher
Gray J,15,Gallagher
Hawking S,15,Gallagher
Lewis M,15,Gallagher
Mack A,15,Gallagher
Okrent M,15,Gallagher
Rosenthal S,15,Gallagher
Skinner B,15,Gallagher
Stace W,15,Gallagher
Stanley J,15,Gallagher
Vangelder T,15,Gallagher
Dennett D,273,James
Searle J,256,James
Chalmers D,224,James
James W,222,James
Mcdowell J,216,James
Horgan T,158,James
Tye M,155,James
Fodor J,144,James
Clark A,140,James
Nagel T,137,James
Block N,136,James
Hume D,136,James
Bayne T,124,James
Dretske F,123,James
Kriegel U,121,James
Strawson G,116,James
Davidson D,111,James
Prinz J,111,James
Putnam H,108,James
Goldman A,105,James
Peacocke C,104,James
Russell B,103,James
Siewert C,101,James
Martin M,97,James
Harman G,95,James
Solomon R,92,James
Strawson P,91,James
Sellars W,87,James
Siegel S,86,James
Lycan W,86,James
Lewis D,84,James
Crane T,83,James
Carruthers P,82,James
Austin J,79,James
Smith A,78,James
Smith J,76,James
Shoemaker S,73,James
Pitt D,72,James
Mcginn C,72,James
Burge T,69,James
Churchland P,68,James
Williams B,68,James
Campbell J,66,James
Jackson F,66,James
Bermudez J,64,James
Byrne A,62,James
Goldie P,62,James
Moore G,60,James
Chisholm R,56,James
Metzinger T,56,James
Rosenthal D,56,James
Armstrong D,55,James
Evans G,54,James
Levine J,52,James
Chudnoff E,49,James
Anscombe E,49,James
Bratman M,49,James
Frankfurt H,49,James
Kripke S,49,James
Baars B,48,James
Pacherie E,44,James
Hill C,44,James
Johnston M,44,James
Kim J,44,James
Schwitzgebel E,43,James
Millikan R,41,James
Pautz A,39,James
Goodman N,39,James
Brewer B,38,James
Boghossian P,38,James
Pylyshyn Z,38,James
Schmid H,37,James
Williamson T,36,James
Dainton B,36,James
Dehaene S,36,James
Fish W,36,James
Wegner D,36,James
Kenny A,35,James
Loar B,35,James
Oshaughnessy B,35,James
Blackburn S,34,James
Hurlburt R,34,James
Flanagan O,33,James
Gilbert M,33,James
Desousa R,32,James
Devignemont F,32,James
Rowlands M,32,James
Walton K,32,James
Ayer A,31,James
Grice H,31,James
Hilbert D,31,James
Huemer M,31,James
Broad C,29,James
Deonna J,29,James
Haggard P,28,James
Tononi G,28,James
Alston W,28,James
Frijda N,28,James
Reid T,28,James
Smith M,28,James
Vanfraassen B,28,James
Schutz A,207,Schutz
Weber M,47,Schutz
Heelan P,46,Schutz
Kockelmans J,42,Schutz
Natanson M,38,Schutz
Tymieniecka A,36,Schutz
Berger P,33,Schutz
